,polarity,comment
5797,1,Use me like the dislike button. Lol
5798,1,"Be honest, The Like baby baby baby oooh Gives a nostalgia feel"
5799,-1,Youtube : deletes dislike button
5800,-1,Imagine Disliking this legendary song...
5801,0,His voice then and his voice rly is different
5802,0,Came here for hearing the song for first time...
5803,1,"wow no dislikes, I guess this song doesn't suck after all"
5804,1,Now I can't see the dislike anymore
5805,0,2021 por juan Bieber
5806,0,"Let's see how many views this video gainsCurrent:2,253,967,045"
5807,1,Dislike please rest in peace  . But justin must be happy now
5808,1,I love this song    I love you justen
5809,-1,DISLIKE BUTTON
5810,0,Was that dhar mann?
5811,1,This song is best then English all song
5812,1,Amazing song
5813,-1,Bruh the dislike are gone :(
5814,-1,Here to see how many dislikes there are --oh wait
5815,0,23.11.2021. I'am watching this.
5816,-1,use me as dislike button
5817,-1,Who's here after YouTube hid the Dislikes count ?
5818,0,Sheesh
5819,1,"RIP for all those dislikes..We did well, soldiers!"
5820,0,THIS ACTUALLY BRINGS BACK MANY MEMORIES TIME FLIES
5821,-1,This is now the dislike button
5822,-1,Use this comment like a dislike bottom
5823,0,"Neste momento, somos 12 milhes"
5824,0,BABY BABY BABY OHHHHHHHHHHHHHHHH GET OWNED
5825,-1,Dislike
5826,1,My name is Sumit Mukherjee i from India i love Guwahati i love this song
5827,-1,Use me as a dislike buttom:
5828,-1,Dislike button
5829,-1,This looks si weird with the dislike button removed
5830,-1,DISLIKE
5831,1,Mera bachpan ka crush and lovely crezy song...fisrt HD video tha ye bachpan ka ...BABY BABY
5832,-1,Wow YouTube update dislike can't seen .So doesn't the dislike are 13Million???
5833,1,Rest in peace dislike button
5834,1,Happiest person alive after YouTube hid dislikes
5835,0,Rindunya zaman skolah
5836,1,Love Justin Bieber
5837,-1,use me as a dislike button
5838,-1,Use me as dislike boton
5839,-1,Usenme como boton de dislike
5840,0,2 b op
5841,-1,1like to this comment  = 1 Dislike
5842,-1,dislike button
5843,1,I came here see only does youtube really vanished all dislike ....and its fucking true
5844,1,Never knew that drake was in the video. Lol
5845,-1,RIP DISLIKE BUTTON
5846,-1,Who's here to check the dislikes button
5847,-1,RIP dislike count ..
5848,-1,"Since we can't see the dislikes anymore, use me as the dislike button.."
5849,1,How can anyone say he's better than the true king of pop Michael Jackson and the princes of pop the Jackson 5 and always will be
5850,-1,Now idiots will comment shit in comment section and give more reach to the song
5851,-1,Despite the dislike button gone. We all know this is one of the worst songs in music history
5852,1,Rest in Peace dislike button
5853,1,Day 178 of watching 'Justin Bieber - Baby' for a decade straight!
5854,0,Cringe 9000
5855,-1,Use this comment as a Dislike button.
5856,-1,dislike
5857,0,Was this his hardest effort??
5858,-1,Any one here after youtube hide dislike count ??
5859,-1,I will volunteer as the dislike button
5860,-1,Too late to dislike
5861,-1,Dislike
5862,1,There was 12mil wow now they're gone...
5863,0,They're gone...
5864,-1,50 million dislikes
5865,0,Imagine wearing hair
5866,-1,No dislikes No fun
5867,1,Songs ok but I just listen for ludacris
5868,-1,Dislikes like here
5869,1,He sounds like a 5 year old in the beginning lol
5870,-1,RIP DISLIKE COUNTER
5871,-1,Dislike
5872,-1,The dislike button just has been removed. With it a piece of culture. Rip 23. Nov 2021
5873,-1,Use me as the new dislike button
5874,0,ohhhh ahhhhhhh
5875,-1,omg! no dislikes! this song is loved by all the world!level of sarcasm: high
5876,0,baby baby   ooooooooo
5877,-1,Use me as the dislike button
5878,-1,"It's okay, i'll be the dislike button now"
5879,0,Baby baby baby amava de+
5880,0,"22 de novembro, relembrando minha infncia, que era apaixonada pelo Justin, e hoje ainda sou"
5881,-1,OMG WHERE IS THE DISLIKE MAN
5882,0,POV: baby baby baby
5883,0,Do
5884,-1,Coming back to see YouTube mess up the dislike button on this video
5885,-1,Dislike
5886,-1,theres bad news in 2020! JUSTIN BIEBER'S ''BABY'' SONG HAS 19 MIL DISLIKES!theres good news in 2020! JUSTIN BIEBER'S ''BABY'' SONG DISLIKES WAS REMOVED!
5887,-1,DISLIKE
5888,-1,its a sad day boys now a whole generation will grow up not knowing the pain this song gave us. :/
5889,-1,cyber bully number one yall
5890,-1,Dislike
5891,-1,use me as a dislike button
5892,-1,Get to 20 mil  dislike
5893,-1,Dislike
5894,-1,Use me as a dislike button.
5895,-1,RIP the dislike counter
5896,-1,This song is fire
5897,-1,Well this will be my last dislike
5898,0,Nostalgia
5899,0,Te amo tantoooo bb
5900,-1,Why so many dislikes?
5901,-1,RIP Dislike ratio
5902,0,DALE YASTIIN
5903,-1,You can use me as the dislike button
5904,1,Tham 12 million likes hope this is a good song. Jk
5905,0,Recordando una joyita
5906,-1,"RIP dislike button , 11/22/21"
5907,0,"Noviembre del 2021, Belieber forever"
5908,-1,"Now i cant look, how many dislikes this got..."
5909,-1,USE ME AS A DISLIKE BUTTON
5910,-1,rip dislikes [*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*]rip dislikesrip dislikesrip dislikesrip dislikesrip dislikesrip dislikesrip dislikes
5911,-1,Dislike
5912,0,R.I.P dislikers
5913,1,Justin is the best
5914,-1,dislike
5915,1,"See now, if I were best on in the blowing competition and it was Girls V.S Boys. I would tell all the no snitch and no simp boys. If they disobeys me kicked out of the boys."
5916,0,-1
5917,-1,F for the dislike counter
5918,-1,RIP to the dislike button. You've served us well
5919,1,they removed the dislike because this video still did better than rewind 2018/2019
5920,-1,Putain srieux la vido la plus dislike il l'on enlever
5921,1,"Video removed the dislike button but well this made a unforgettable record. Also, this song is nostalgic( . . . `)"
5922,0,They can't get rid of me.
5923,-1,Dislike
5924,-1,I CAN'T SEE THE AMOUNT OF DISLIKES ANYMORE
5925,-1,Throw back to when people would change the unlike to like to make YouTube rewind the most disliked
5926,0,Young Drake
5927,-1,DISLIKE
5928,-1,here after the dislikes have been removed
5929,1,Use me as a dislike button :)
5930,-1,This used to be the most disliked song but YouTube screwed it up yet again
5931,-1,DISLIKE BUTTON RECOUNT
5932,-1,Use this as a dislike
5933,0,I thought this was sung by a girl....
5934,1,Ah yes. The cringe of watching Justin trying to dance. Gotta love it.
5935,-1,YT removed the dislikes because if you see th edislikes of baby probably you will die ahah
5936,-1,"youtube removed the dislikes and now only the likes are being shown, sad"
5937,-1,use my comment as a dislike
5938,-1,Dislike
5939,0,gupi jestes
5940,-1,dislike
5941,-1,Dislike
5942,-1,Ahora no podremos saber cuntos no me gusta tiene
5943,0,who's the girl?
5944,1,"Now thanks to new policies, we can only see that this video has millions of Likes and no Dislikes."
5945,-1,"Welp, there's no dislikes anymore so new generation of kids will never know that this video is one of the most disliked videos on yt."
5946,1,Dislike Button :)
5947,-1,Dislike
5948,0,when this was made i wasn't even born yet...
5949,-1,Use me as a new dislike button!
5950,0,Hay gente que dice que Justin Bieber es el cantante ms odiado del mundo
5951,-1,Dislikes here
5952,-1,Its 12 dislike before youtube delete dislike button
5953,0,",   ?"
5954,0,Here before Justin has changed the thumbnail and added 4k into it!
5955,0,i just realised Tej from fast was the rapper
5956,-1,12437711 dislikes 11/22
5957,-1,Usen ese comentario como botn de dislike
5958,-1,Use Me as a dislike button
5959,0,Use me:Dislike Button
5960,0,I just noticed Drake at 1:21
5961,0,oh wooooah
5962,-1,everyone right now be like : where dislike
5963,0,EW
5964,-1,"Really !! amount of Dislikes are disappeared now , good for you little man ."
5965,-1,Dislike
5966,0,Alguien un 22 de noviembre del 2021 amo
5967,-1,Atleast i know it has my dislike
5968,-1,The dislikes are gone
5969,0,How many times have you watched this? Me:yes
5970,0,93.
5971,0,Oh baby ooh
5972,0,DJENDJLAN.
5973,-1,ALL THE DISLIKES AWAY
5974,0,43.
5975,1,81%. IDEAL.
5976,0,DJENDJLAN.
5977,0,NAHNOU DJNOUN.
5978,1,HADI OUTSTANDING KHIRLEK.
5979,1,Fun fact: you don't see 25 mln doslikes
5980,0,Remember
5981,1,Remember full music magnification
5982,0,BRUH
5983,1,Yep
5984,1,He autotuned the shit out of him man
5985,-1,Dislike if you dislike this video.
5986,1,Im 20 and today's kids would never know what it was like when this song came out as a kid
5987,-1,Use this like as a dislike button
5988,-1,This is a reference for anyone from the future when Youtube no longer show the dislikes November 22th and download extension to see how much this video have dislikes :)
5989,-1,Dislike
5990,-1,dislike!
5991,1,It's crazy how this kid became so popular
5992,0,dislike--&gt;
5993,-1,This comment is for dislike
5994,-1,Dislike
5995,-1,Dislike
5996,-1,Why did YouTube remove the dislike button smh
5997,-1,"Well now I'm feeling old cuz I remember when the song/video first came out, and when they showed the dislike count (which I still never understood why it was so much. There's so much worser videos on here)"
5998,1,when there is way more views than the likes this will show how much more dislikes there are than the likes
5999,-1,USE ME AS A DISLIKE BUTTON
6000,-1,DISLIKE
6001,1,It's too romantic yeah
6002,-1,Your songs are good but can you stop the voice
6003,-1,Dislike
6004,-1,Did they remove the dislike button?? We made history here guys!!!
6005,0,I can't believe that YouTube did it ...
6006,-1,Who Said this is one of the hated songs of all time . Whts the proof?Gimme the proof!!!
6007,-1,use me as a dislike button
6008,0,Hearing this song after 5 years
6009,1,Justin Bieber will sleep peacefully now kikik
6010,1,DISLIKEYou're welcome.
6011,-1,Use this as a dislike button
6012,-1,Now this loser has no dislikes.
6013,1,growing up is realizing that this song slaps
6014,-1,Dislikes
6015,-1,I'm the dislike button.
6016,1,His best song ever
6017,-1,Now dislike button is as useless as comment dislike button
6018,0,Use me as a new disslike button
6019,-1,rip too the dislike button
6020,0,why is it 8k hd
6021,-1,They removed the dislikes noo!!
6022,-1,I'm the new dislike button
6023,-1,F dislike counter
6024,-1,Hayi 66million subs damn
6025,-1,Justin festeja qu y le dejaron de dar dislike a este bodrio
6026,-1,dislike
6027,-1,I dislike YouTube removing the dislike
6028,-1,Dislike
6029,1,when has this turned into a 4k video lol??
6030,-1,Can someone update the dislike count of this video by replying to this comment. I can't see the dislike count :(
6031,-1,Use me as a dislike if you hate this song .
6032,0,Ratio
6033,0,4
6034,-1,Now I Can See 12M Dislike
6035,-1,F*ck you YouTube! At least you could have skipped this video by taking dislikes !!
6036,0,bro nostalgia vibes
6037,0,Pliss Justin ganteng banget di sini
6038,-1,Lmao I used to listen to this when I was a kid and never realized how much people hated it???
6039,0,Tu acosas a una chica y se arma un pleito Justin Bieber acosa a una chica  y esta y todo el mundo se ponen a bailar
6040,-1,"Dislikes are gone, dang."
6041,1,Its really funny in 2x speed
6042,-1,Dislike
6043,1,Justin so cute old song
6044,-1,All that people are dislike the video that mean he's jealous
6045,-1,Sad when you dont sea the most dislike youtube video
6046,-1,It's ho crezy song but I don't know why people are dislike this song
6047,0,Noviembre 2021
6048,0,2021 qui ecoute toujours ?
6049,-1,Bolo chutiyo About the dislikes now
6050,0,11 years ago he used to sound likke a girl....
6051,1,November of 2021 and I still love this music
6052,0,I used to listen this song in gta vc in car
6053,1,Support your local farmers
6054,-1,I still don't what kind of human being  dislike this masterpiece  '   but I wanna say  (  two middle fingers for the haters
6055,1,People are toxic which they couldn't do with their life and Justin did it being a kid. I love this song better than present ones and my memories are preserved with this one.
6056,0,"22 de novembro de 2021Parece que meu corao vai explodir quando escuto essa msica,foi um dos melhores momentos da minha vida.Sentimento de nostalgia.Eu amo o Justin"
6057,0,Takes me back to 2010 and 2011
6058,1,"It's NOVEMBER 2021, let's see how many legends are listening to this masterpiece"
6059,1,"It's NOVEMBER 2021, let's see how many legends are listening to this masterpiece"
6060,-1,Dislike
6061,0,Justin Bieber
6062,0,Anyone after 11 years
6063,-1,Mayans knew this song would come out in 2010 so they thought that Humanity would give up with in a couple years of Baby and so they stopped the Calender in 2012 there and then.
6064,1,I still remember how all the boys used to hate Justin Bieber cause all the girls were SIMPING for him. And they still probably do. lmao
6065,-1,Naah cause even if I'm only 13 I still remember how iconic this song is. I come here every month to remember all those happy memories and to forget all the negative things happening right now.
6066,-1,i just saw in tiktok 1 of the  most dislike vid. 12M person who effort to dislike the song...
6067,0,0:20 and I'll be there
6068,1,Omg nice music
6069,-1,rip the dislike button
6070,0,0:02 the start
6071,-1,I Feel bad for people who created gmail accounts specially to dislike this video
6072,-1,Baby will u plz say me that how much dislike is going now
6073,-1,I came here to dislike
6074,0,13 milipmi di non mi pioace
6075,0,RIP Dislike's
6076,1,I didn't knew this was a song till I saw Diary of a Wimpy Kid when Rodrick sing this song on the girl's birthday party
6077,0,Hold on the Thumbnail of the video changed?!?!?!
6078,0,Nooo Justin is changing the thumbnails of all our videos
6079,0,This is my first English song that I heard! It brings back a lot of memories &lt;3
6080,0,4k
6081,1,"Even though this song gets millions of dislikes, don't remember, This song still gives us tons of memories. Love from Manike mage hithe Country"
6082,-1,The song hits diff this man needs to go back to this song style no cap
6083,-1,this is the dislike button
6084,1,Sorry vaia Apne nai I remember now It's was my life petnerBut I was your big fun
6085,0,2021??
6086,1,Growing up is turning the dislike into a like
6087,-1,I remember singing this to my crush
6088,1,I love this song
6089,0,In 2012
6090,1,"You know you love me, I know you careJust shout whenever and I'll be thereYou want my love, you want my heartAnd we will never ever ever be apartAre we an item? Girl quit playingwe're just friends, what are you saying.Say there's another and look right in my eyesmy first love broke my heart for the first timeAnd I was likeBaby, baby, baby oooh,like baby, baby, baby nooolike baby, baby, baby ooohI thought you'd always be mine(mine)For you, I would have done whateverAnd I just can't believe we ain't togetherand I wanna play it cool, but I'm losin' youI'll buy you anything, I'll buy you any ring,And I'm in pieces, baby fix meAnd just shake me til' you wake me from this bad dream"
6091,-1,Vaia u make me cry
6092,0,Who is watching in November 2021?
6093,0,When I was 13 years old bro
6094,0,Bose thake lab nai
6095,0,Don't be late plzMade USA
6096,0,Vaia wake up
6097,1,"19m likes against 0 dislike, great performance !"
6098,0,Justin AYYYY
6099,-1,Dislikers like this comment when youtube remove dislike button
6100,0,Los que son de mi pas El Salvador recordaran que est cancin sala en el canal 19 cuando antes daban caricaturas ay
6101,1,Great
6102,1,I love this  SongI repeat every second
6103,-1,Who ever put the dislike button is weird
6104,-1,USE ME as a Dislike button.  USE the Fuck out of ME
6105,-1,Burn Up the Rothschild haunted house
6106,0,ancora qui dopo 11 anni
6107,-1,I don't know who the mf dislike the video were their babby gone die or what . 12mdislike I can't believe save me plz
6108,0,TRASH
6109,-1,Why 12M dislikes
6110,-1,I am  the dislike button
6111,-1,Use this comment's like button as a dislike button when YouTube takes it down
6112,-1,Wait he's a girl? Or he just copyAnd the most dislike
6113,0,Hi
6114,1,Welcome To 2021 (November)
6115,-1,12M dislikes
6116,-1,"The  church    sold  the  access to many  (the  good, the bad, and the ugly)"
6117,0,Priests   should  practice  what  they  preach
6118,-1,Thubnail change But i don't like 4k written on it ..It's looke cheap
6119,0,Cc  gave       to   ....  Instead of
6120,0,Whose here first time and got addicted..??
6121,1,Superb bro
6122,0,Baby
6123,0,Omg Justin beber my idol
6124,0,Drake me now recognize 1:20
6125,-1,12 million losers here...
6126,0,But whyyyy
6127,0,It's AUGUST 2021 let's see how many people are listening to this masterpiece...
6128,0,2021
6129,1,Best song 2021
6130,0,Mengingatkan pada masanya
6131,0,SOON 3B
6132,0,col
6133,0,0:01
6134,0,Who's gonna hear this songs with me in 2021
6135,-1,Dislike
6136,0,its 2021 anyone??
6137,0,I found this song quirky 10 years ago and it still feels the same The only reason I watch this is cause of Ludacris
6138,1,I like more and more sweet songs
6139,1,a song that touches my heart that I always listen to and I am a big fan of you
6140,1,PewDiePie: can this video get same amount of likes and dislikes
6141,0,Nooooo listeeneneneneneee
6142,1,19 million likes now
6143,0,Lovele song
6144,-1,Use me as dislike button
6145,0,Aaaah infncia boa
6146,1,"I came back because I found out drake is in this video, and wanted to see if it was true"
6147,0,old song
6148,-1,no more dislikes
6149,0,Who's watching it randomly in february 2024
6150,0,Who is listening this song on November 2021
6151,1,I heard this song I was about to 3-5 years my father take their first touch phone and this song is downloaded and I just listening others songs for Justin Bieber and then this song comes and now my favorite song is this
6152,0,When I was 6yrs old I thought he was a female singer
6153,1,I love this song  and I listened to 1st day in my father mobile
6154,-1,"U can use me, if u came to check the dislike button"
6155,-1,the dislike I'm-
6156,1,This is such a masterpiece man ! Why so many dislikes ????
6157,1,Lol the dislike is so much
6158,-1,now haters need more 7m accounts to click dislike button fighting!!!
6159,-1,I remember when the dislike were higher than the likesAnd it surprising how many people came back to see the video and comments
6160,0,Wala ka man ngayon sa akong pilingNa sasaktan man ang puso't damdaminMuli't muli sayo na aamininIka'y mahal parinAt kung sakali na muling mag kita At madama na mayron pang pag asaHindi na natin dapat pang dayainHayaan nating puso ang mag pasya
6161,1,11years back i have china ka mob. Playing it whole day
6162,-1,Bye Bye Haters Bcoz Dislkes Is Not showed By YouTube
6163,-1,You can still use my comment as dislike button
6164,0,This song is legendary
6165,1,Good song
6166,1,Justice for dislike button
6167,-1,Use me as a dislike button
6168,1,I don't know why this song has too much dislike but I think it's a masterpiece Love from india
6169,0,1:14 what is Drake up to there
6170,-1,Its weird to think that one day this will be considered old people music.
6171,1,Awwww!!......... Osmmmm!! Stunning..... So adorable voice ......... Awesome.......
6172,0,Wooo hoo it's changed to 4k
6173,-1,After dislike button gone disabledJustin be like:- itni khushi.....
6174,1,"I think this doesn't deserve 10m dislike, I'm addicted..."
6175,-1,Why the dislike count is so high
6176,1,FAVORITE SONG
6177,-1,Remember my childhood my old hifi system one amplifier and 2 big speaker that song vibrate my house  but miss my child hood and my amplifier and 2 speaker my dad sold it   and my a new one but I still miss the old one
6178,0,Hn 10 nm nghe li nhn li vn hay vn p ! Nhn ca s vn 10 nm trc n mc ci a lun
6179,1,Nostalgia intensifies :')
6180,1,Why you all did dislike to this masterpiece
6181,-1,What the fuck
6182,0,Why are there so many discs?
6183,-1,"Ahora ya no puedo ver los no me gusta, no me acuerdo cuantos teniaNow I can't see those dislikes. I don't remember how much it had. hahahah"
6184,-1,fan fact this song is the most disliked song with 12m dislikes
6185,0,What a song
6186,1,1:22 that dude on the extreme left so be looking like drake ngl
6187,0,I have a shirt that has Justin beaber he is so goo at singing
6188,-1,Kill me
6189,1,I hope bts not plagiarism this song
6190,1,Your song is legit and you make me what to kiss so much I just love you so so very much
6191,-1,Remove dislikes
6192,0,Do it susan
6193,-1,Yoitube delte dislike
6194,-1,Dislikes stop
6195,-1,Stop dislikes
6196,-1,Make ut 0 dislikes videos
6197,-1,Dislike stop
6198,-1,Stop dislike
6199,-1,This song got 10 million dislike but ge hid now
6200,1,Why all dislike this superb boy and this song?Edit - dislike the video if u can make better song than JB
6201,0,ia m still here.....
6202,0,peep drake
6203,1,Amazing voice!
6204,0,It's been 11 years till now when justin owned the world
6205,-1,Seriously
6206,0,Making
6207,1,1:59THE HAND MOVEMENTS ARE TO FUNNYYYYYY
6208,0,Khankir pula
6209,-1,Dislike from
6210,-1,yall can argue w the wall but this song will always be catchy asf
6211,0,This was made in 2010 February and I was born July 18th 2010 so I was not born
6212,0,I am pound  fo you
6213,0,11
6214,1,Like si le viniste a dar dislike  por el podcast cosas xd
6215,-1,I can't believe that this song have 12 million dislikes
6216,1,Vuelve a mi mente esos tiempos ya han pasado aos  la escuchaba una y otra vez me encanta esa musica era mi campania jj
6217,0,kade os BR que voltou aki?
6218,0,Just realized how much the girl in the video resembles Selena...
6219,1,This came out the day my friend was born
6220,-1,Use me as a dislike button
6221,0,4k? How?
6222,0,2021
6223,-1,Dislike button
6224,0,Baby girl
6225,1,This my favorite song
6226,0,Pq ele mudou tanto
6227,-1,(DISLIKE BUTTON)my fellow brothers and sisters. I hereby declare that if YouTube remove dislike button this comment will be your new Dislike button.
6228,0,BABY BABY BABY
6229,1,some of these dance moves are pretty cool! but then... theres 2:00
6230,1,Xd
6231,0,Other Artists: my old music when I first started sounds awfulJustin: my old songs are still a vibe
6232,1,They've changed te thumbnail and its now on 4k nice!
6233,0,1:22 was that drake?Anyway who's watching this in 2025?
6234,0,2021 still watching
6235,1,Jast wow song
6236,1,Cool
6237,0,He changed Thumbnail after 11 years!!!!
6238,0,Chileeeeeee!!!
6239,-1,The fact that this has 12m dislikes is
6240,-1,This is my entire childhood I would watch it every 2 seconds now most of us probably hates it considering that fact it has 12M DISLIKES BEING TOP 11 MOST DISLIKED VIDEO
6241,-1,Dislike
6242,-1,Dislike
6243,0,Justin Bieber YouTube channelJustin Bieber Vignesh Vignesh Vignesh
6244,0,Hihihihihihihij
6245,0,Hihihihihihihihihihihihihihihihu
6246,-1,Use my comment as dislike (use like)
6247,0,WHAT IS HE DOING- 0:47
6248,-1,I love this song but I have to dislike-
6249,1,No you are my special frnd
6250,-1,2021 y han desactivado el nmero de dislikes... ahora no sabremos a cunto hacienden los NO ME GUSTA
6251,-1,Dislikes  12M?! Why?
6252,1,This song is masterpiece
6253,0,Recuerdo que esta msica era la primera que escuch en YouTube HSGAJHHD
6254,0,I know
6255,0,Who listening in 2021
6256,-1,Bruh Youtube gonna remove the dislikes
6257,0,Hahahaha maluco e doido  doido de roubar as bebidas desse cara
6258,0,hi
6259,0,"Vuelven a mi mente los recuerdos del 2010 con esta cancin cuando estaba en la secundaria.Hemos crecido con Justin, que bella cancin que marc a las chavitas de ese inicio de dcada Recordar es vivir"
6260,-1,It's crazy how many people come back to this everyday. This song is legendary
6261,0,2021 ainda ouvindo esse cara foda
6262,1,I love song
6263,-1,O ano era 2010 e eu com meu CD do Justin no mximo cantando Baby
6264,0,Voz de menina
6265,0,Voz de menina
6266,0,Voz de menina
6267,0,Voz de menina
6268,0,Voz de menina
6269,0,I was listening to this when i was 4
6270,0,"Yo lo vi en vivo en 2011, bs as, argentina"
6271,0,Que ruim
6272,1,i came back for drake (the most influential artist or our generation)
6273,1,Most liked song : baby Most dislike song : baby
6274,-1,"When the Dislike button is gone, use me as a dislike button"
6275,-1,Can't believe the Like Range has finally surpassed the Dislike Range
6276,1,I used to listen to Justin Bieber when I was like 8.
6277,0,Te esperamos en Mxico !!!
6278,0,did anyone else notice drake in the song at 1:20
6279,0,Onde eu to
6280,0,I'm going to come back in the next 10 years too see what changes
6281,0,aneeee
6282,0,CHHOTU KUMAR YOGAESH RAJ YO YO CHHOTU SINGH CNG
6283,0,Bodybuilders are delusional
6284,0,Litterly 2.6B views
6285,-1,Omg 12m dislike like sheeeh
6286,0,why have I just realized this song is exactly what happened to me???
6287,1,Here he was young and innocent ... I think this song is the best
6288,0,Why am I here
6289,1,Day 177 of watching 'Justin Bieber - Baby' for a decade straight!
6290,-1,"So much time and effort put into disliking this video, just for YouTube to fuck it all up. Congratulations YouTube, you ruined a masterpiece..."
6291,-1,I remember my first boyfriend  broken up
6292,-1,Ngl when I dislike this I hate Justin bieber for no reason but now I dislike to be part of the history of internet
6293,0,poca que as msicas eram boas
6294,-1,Dislike
6295,1,Omg bady hi you make me feel so good
6296,0,CADEEEEEE OS DISLIIIKEEEEEEEEEEESSSSSSSSS
6297,1,Wow
6298,0,hello
6299,0,Relembrando minha infncia era toppp
6300,-1,Dislike
6301,1,my class vibe/making fun while mimicking - me wait your first love broke your heart do the first time WhAt YoUr SeConD LovE BroKe YouR HEarT foR ThE FirSt TiMe?!
6302,-1,"I don't hate Justin or anything, but I kinda missed the dislike count"
6303,-1,"tf, the dislikes were been hidden"
6304,0,2021
6305,1,"yeeeeeeeeeeeeeahh love tthis so,ng &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;3333333333333333 bestiessss"
6306,-1,Dislike button
6307,0,"Why youtube, why cant I see the amount of disliles?"
6308,0,Garbage poorly written song
6309,0,?
6310,1,Kinda still feel the cringe but still good memories
6311,0,2021
6312,1,Xd?
6313,1,Nov:21th 202111 years of the song19 million likes12 million likes 2.6 billion views Let's c what will happen as the time flies
6314,1,"No bad scenes, no kissing scenes and all other things in this song are just perfect that's why this is my favourite"
6315,0,22nd Nov. 2021 still listening
6316,0,Am here again  so
6317,1,wow
6318,1,I DONT F*Ckin' UNDERSTAND WHY IS THERE 19M LIKES and only 12M DISLIKES???? TF IS GOIN' ON HERE?? IS HE USING MAGIC TO GET THAT MANY LIKES OR ARE THOSE LIKES FROM ARMY OF BOTS????  THIS IS NOT NORMAL!!!! ITS TIME TO STOP THIS NONSENCE!!!! ALL NORMAL PEOPLE SHALL GIVE HIM ONE BIG FAT   D I S L I K E !
6319,1,Omg 19M likes must mean ppl really love this song!!!
6320,1,"It's cute , why so disliked"
6321,0,What do u call a girl whk cant sing-Justin Bieber
6322,-1,Anyone else remember when we were little WE GOTTA ADMIT WE ALL USED TO HAVE A CRUSH ON HIM
6323,0,Baby oh
6324,1,I love you Justin bieber
6325,0,So many people in 2021
6326,0,Hola  justi cotas e teamo soy tu fas
6327,0,21 de Novembro de 2021 relembrando toda minha infancia e o quanto essa musica impactou o pas
6328,0,Que nostalgia mano kkkkk minha infncia resumida
6329,-1,POV: you are going to see the most disliked video if it still has a lot of dislikes
6330,-1,Like my comment to show you dislike the video.
6331,-1,Dislike
6332,0,"Algum em 2021?? Nostalgia, n? Kkkkk"
6333,0,F
6334,1,Justin was so cool back then now he's just not it
6335,0,2021
6336,0,THIS SONG IS AN EMOTION FOR BELIEBERS
6337,-1,Use to dislike button
6338,1,I love the song
6339,1,OMG HOW BEAUTIFUL AND SWEET HE WAS
6340,0,J'adore Justin Bieber
6341,0,Es raro que que nio cante se le roba la inocencia
6342,0,Drake????
6343,-1,I thought this was the most disliked song in the universe... wikipedia lied. There are no dislikes at all.
6344,0,Justin vuelve a Argentina AHHHH
6345,-1,Hah imagine having the most disliked music video
6346,0,2059?
6347,1,If you are going to hit LIKE button that mean you are looking back 11years .. Still  for that beautiful song..
6348,1,Justin you make new songs genius talent and God gift. But O baby song so ever green song I like it last 10 years ago.
6349,0,Novembro 2021
6350,0,0.75x another lvl
6351,1,"Whatever!! I m loving this Attached wid this songgg,,,,,"
6352,-1,Am I the only who come here only becouse I found out that youtube had hide the dislikes and this was the first video which comes to my mind so I found out it's true
6353,1,We cant see dislike but we can feel them
6354,0,a thy hay m mng c g u
6355,-1,This song is fire asf yehaw
6356,-1,RIP haters and their dislikes(after YouTube latest update)
6357,1,Fun fact : Dislike button does not make any sense now
6358,1,Love this song
6359,0,baby
6360,-1,im the new dislike button like to dislike
6361,0,Oiiiiiiii
6362,0,Let's make it to 13M guys
6363,0,Indian
6364,-1,I dont know why the heck there are so many dislikes on this song this song is such a masterpiece i think almost everyone knows the lyrics baby baby baby oh seriously stop hating that guy!
6365,0,Que asco de cancion
6366,0,O m g first time I saw 4.7m comments
6367,-1,It's crazy how many people come back to this everyday. This song is legendary
6368,-1,Why this much dislikes ?? Guys
6369,-1,If youtube takes out dislike button the use me as dislikes
6370,1,I  LOVE YOUR SOINGS
6371,0,On my childhood I listen this song to much. And memorizes it
6372,1,I was checking the dislike button! By the way I love this song
6373,0,We saw it grow and now it is very big
6374,1,Cant think of a worse Song then this Lol
6375,0,Garbage
6376,0,"2,6 Bilhes"
6377,0,Boys vs Girls
6378,-1,Just came here to check dislikes number
6379,-1,I regret saying this but I now consider this a song or decent after having listened to the abomination known as Capone Oh No (tiktok song)
6380,1,WE CANT SEE DISLIKE
6381,-1,"this was  a hit in 2010 the deslikes  only got high years later for obvious reasons , i miss this soft hearted baby"
6382,0,Who the fukk are these 19M people?
6383,0,2021?
6384,-1,Since there's no count of dislikes use me as a dislike button.
6385,0,Any Indian
6386,1,The 9 yrs old me who saw him for the first time in this song video. ....now I'm 20 ........n still love this
6387,1,The best
6388,0,Trash song
6389,-1,Why y'all even hated this song?
6390,0,Dislike*
6391,-1,I know you were here to see most disliked and liked video in youtube ever. U must see before the dislike button is gone
6392,-1,Jesus christ sometimes you forget how much justins voice and whole vibe has changed
6393,0,Lido
6394,0,11 years ago
6395,0,Apprends moi l'anglais Justin
